,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
68,HAS,"Hasbro, Inc.",United States,Consumer Cyclical,5600.0,16377682944.0,,0.07582000000000001
69,BWA,BorgWarner Inc.,United States,Consumer Cyclical,29000.0,9334436864.0,,0.050819997000000006
70,MGM,MGM Resorts International,United States,Consumer Cyclical,63000.0,30766286848.0,,0.22081
71,LKQ,LKQ Corporation,United States,Consumer Cyclical,51000.0,13860486144.0,-0.211,0.04723
72,CCL,Carnival Corporation & Plc,United States,Consumer Cyclical,150000.0,30840436736.0,,-0.734
73,LB,"L Brands, Inc.",United States,Consumer Cyclical,25500.0,16783849472.0,,-0.06955
74,WYNN,"Wynn Resorts, Limited",United States,Consumer Cyclical,30200.0,16465886208.0,,-0.25711
75,NWL,Newell Brands Inc.,United States,Consumer Defensive,30000.0,13910558720.0,-0.133,-0.11244999600000001
76,MHK,"Mohawk Industries, Inc.",United States,Consumer Cyclical,41800.0,9654786048.0,,0.05199
77,HBI,Hanesbrands Inc.,United States,Consumer Cyclical,63000.0,9983941632.0,0.078,0.07843
78,LEG,"Leggett & Platt, Incorporated",United States,Consumer Cyclical,22000.0,8141360640.0,,0.05287000000000001
79,TPR,"Tapestry, Inc.",United States,Consumer Cyclical,12400.0,8455752704.0,,-0.13143000000000002
80,NCLH,Norwegian Cruise Line Holdings Ltd.,United States,Consumer Cyclical,36000.0,12761816064.0,,-0.43457
81,PVH,PVH Corp.,United States,Consumer Cyclical,21500.0,8592396288.0,,-0.12404000000000001
82,GPS,"The Gap, Inc.",United States,Consumer Cyclical,129000.0,13453558784.0,,-0.073860005
83,RL,Ralph Lauren Corporation,United States,Consumer Cyclical,13700.0,6784034816.0,,0.026730001000000003
84,UAA,"Under Armour, Inc.",United States,Consumer Cyclical,7000.0,7071387136.0,,-0.15206
85,UA,"Under Armour, Inc.",United States,Consumer Cyclical,7000.0,6316938240.0,,-0.15206
86,PG,The Procter & Gamble Company,United States,Consumer Defensive,99000.0,378257833984.0,,0.18361000000000002
87,WMT,Walmart Inc.,United States,Consumer Defensive,2200000.0,467113410560.0,0.794,0.033010002000000004
88,KO,The Coca-Cola Company,United States,Consumer Defensive,86200.0,248957992960.0,-0.318,0.26770002
89,PEP,"PepsiCo, Inc.",United States,Consumer Defensive,267000.0,230428098560.0,0.091,0.1027
90,COST,Costco Wholesale Corporation,United States,Consumer Defensive,156000.0,164359651328.0,0.266,0.024
91,PM,Philip Morris International Inc.,United States,Consumer Defensive,73500.0,150548725760.0,-0.16,0.24983999
92,MDLZ,"Mondelez International, Inc.",United States,Consumer Defensive,80000.0,102365200384.0,-0.323,0.13057000000000002
93,MO,"Altria Group, Inc.",United States,Consumer Defensive,7300.0,97851613184.0,-0.027,-0.044970002
94,CL,Colgate-Palmolive Company,United States,Consumer Defensive,34300.0,75185364992.0,0.084,0.16132000000000002
95,KMB,Kimberly-Clark Corporation,United States,Consumer Defensive,40000.0,59511398400.0,0.404,0.1358
96,EL,The Estée Lauder Companies Inc.,United States,Consumer Defensive,48000.0,83834331136.0,,0.047849998000000005
97,GIS,"General Mills, Inc.",United States,Consumer Defensive,35000.0,50680520704.0,0.227,0.12783
98,SYY,Sysco Corporation,United States,Consumer Defensive,57000.0,42891059200.0,,0.0040700003
99,STZ,"Constellation Brands, Inc.",United States,Consumer Defensive,9000.0,46710861824.0,,0.1345
0,MNST,Monster Beverage Corporation,United States,Consumer Defensive,1273.0,41775652864.0,0.065,0.26565
1,CLX,The Clorox Company,United States,Consumer Defensive,8800.0,29826252800.0,0.28600000000000003,0.13971
2,ADM,Archer-Daniels-Midland Company,United States,Consumer Defensive,38100.0,36943003648.0,0.996,0.027540000000000002
3,KR,The Kroger Co.,United States,Consumer Defensive,500000.0,44140498944.0,1.758,0.02033
4,WBA,"Walgreens Boots Alliance, Inc.",United States,Healthcare,,72239063040.0,-0.449,0.0032700000000000003
5,MKC,"McCormick & Company, Incorporated",United States,Consumer Defensive,12400.0,30674511872.0,0.074,0.13748999
6,CHD,"Church & Dwight Co., Inc.",United States,Consumer Defensive,4800.0,24956260352.0,0.37,0.15702000000000002
7,HSY,The Hershey Company,United States,Consumer Defensive,14520.0,35421712384.0,-0.14,0.13496000000000002
8,KHC,The Kraft Heinz Company,United States,Consumer Defensive,37000.0,65662287872.0,,-0.007549999700000001
9,CAG,"Conagra Brands, Inc.",United States,Consumer Defensive,16500.0,28002097152.0,0.893,0.08774999500000001
