Date,399001.SZ,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^IPSA,^MERV,^TA125.TA,^CASE30,^JN0U.JO,^OMX
2020-03-13,10831.1298828125,2711.02001953125,23185.619140625,7874.8798828125,10851.740234375,1602.25,9016.7802734375,1210.1300048828125,57.83000183105469,5366.10009765625,9232.080078125,4118.35986328125,2586.02001953125,800.75,2728.929931640625,2316.3798828125,17431.05078125,24032.91015625,2887.427001953125,10831.1298828125,,5539.2998046875,5590.7001953125,34103.48046875,4907.57080078125,1344.75,9826.8603515625,1771.43994140625,10128.8701171875,13716.2998046875,82678.0,38085.05078125,,28447.970703125,,,2594.739990234375,1376.4599609375
2020-03-16,10253.2802734375,2386.1298828125,20188.51953125,6904.58984375,9567.5302734375,1499.1500244140625,8664.8603515625,1037.4200439453125,82.69000244140625,5151.10009765625,8742.25,3881.4599609375,2450.3701171875,755.0800170898438,2535.580078125,2266.89990234375,17002.0390625,23063.5703125,2789.25390625,10253.2802734375,2495.77001953125,5002.0,5058.2001953125,31390.0703125,4690.6572265625,1280.6300048828125,9007.1796875,1714.8599853515625,9717.76953125,12360.400390625,71168.0,,,25697.509765625,1160.6300048828125,,2356.449951171875,1329.1600341796875
2020-03-17,10202.75,2529.18994140625,21237.380859375,7334.77978515625,10063.3603515625,1503.0699462890625,8934.669921875,1106.510009765625,75.91000366210938,5294.89990234375,8939.099609375,3991.780029296875,2530.5,772.3400268554688,2528.77001953125,2224.739990234375,17011.529296875,23263.73046875,2779.64111328125,10202.75,2454.530029296875,5293.39990234375,5332.7998046875,30579.08984375,4456.7490234375,1256.5799560546875,9977.099609375,1672.43994140625,9439.6298828125,12685.2001953125,74617.0,36862.83984375,,25823.470703125,1183.8499755859375,,2422.070068359375,1372.7900390625
2020-03-18,10029.5703125,2398.10009765625,19898.919921875,6989.83984375,9384.599609375,1317.219970703125,8630.8798828125,991.1599731445312,76.44999694824219,5080.60009765625,8441.7099609375,3754.840087890625,2385.820068359375,733.9299926757812,2576.2099609375,2112.639892578125,16726.55078125,22291.8203125,2728.756103515625,10029.5703125,2425.6201171875,4953.2001953125,4998.7998046875,28869.509765625,4330.673828125,1239.010009765625,9269.509765625,1591.199951171875,9218.669921875,11721.400390625,66895.0,35532.73828125,,22087.130859375,1116.2099609375,,2181.909912109375,1337.239990234375
2020-03-19,10019.8603515625,2409.389892578125,20087.189453125,7150.580078125,9461.3095703125,1399.56005859375,8764.849609375,1058.75,72.0,5151.60009765625,8610.4296875,3855.5,2454.080078125,756.9500122070312,2636.02001953125,2275.699951171875,16552.830078125,21709.130859375,2702.1298828125,10019.8603515625,2311.0,4782.89990234375,4809.39990234375,28288.23046875,4105.421875,1219.719970703125,9207.509765625,1457.6400146484375,8681.33984375,12170.5,68332.0,35143.62890625,,22656.4296875,1161.9599609375,,2116.8798828125,1380.5799560546875
2020-03-20,10150.1298828125,2304.919921875,19173.98046875,6879.52001953125,9133.16015625,1408.93994140625,8734.5302734375,1013.8900146484375,66.04000091552734,5190.7998046875,8928.9501953125,4048.800048828125,2548.5,792.1599731445312,2771.489990234375,2331.610107421875,,22805.0703125,2745.617919921875,10150.1298828125,2410.739990234375,4816.60009765625,4854.2998046875,29915.9609375,4194.94384765625,1303.280029296875,9196.419921875,1566.1500244140625,9234.08984375,11851.7998046875,67069.0,34269.51171875,,23890.349609375,,,2227.7099609375,1355.5400390625
2020-03-23,9691.5302734375,2237.39990234375,18591.9296875,6860.669921875,8777.3798828125,1336.3800048828125,8418.2802734375,1002.4000244140625,61.59000015258789,4993.89990234375,8741.150390625,3914.31005859375,2485.5400390625,766.6300048828125,2664.10009765625,2253.35009765625,16887.779296875,21696.130859375,2660.169921875,9691.5302734375,2233.47998046875,4546.0,4564.10009765625,25981.240234375,3989.51708984375,1259.8800048828125,8495.3896484375,1482.4599609375,8890.0302734375,11228.5,63570.0,32964.21875,,,1109.6300048828125,,2097.929931640625,1292.27001953125
2020-03-24,9921.6796875,2447.330078125,20704.91015625,7417.85986328125,9658.3203125,1464.969970703125,9094.4404296875,1096.5400390625,61.66999816894531,5446.0,9700.5703125,4242.7001953125,2715.110107421875,829.3099975585938,2867.590087890625,2415.969970703125,18092.349609375,22663.490234375,2722.43798828125,9921.6796875,2362.050048828125,4735.7001953125,4753.2998046875,26674.029296875,3937.632080078125,1291.1400146484375,9603.2099609375,1609.969970703125,9285.6201171875,12571.099609375,69729.0,34371.53125,,,1180.719970703125,,2284.10009765625,1383.8800048828125
2020-03-25,10241.080078125,2475.56005859375,21200.55078125,7384.2998046875,9961.3798828125,1516.18994140625,9552.3896484375,1110.3699951171875,63.95000076293945,5688.2001953125,9874.259765625,4432.2998046875,2800.139892578125,861.02001953125,2919.64990234375,2452.68994140625,19546.630859375,23527.189453125,2781.591064453125,10241.080078125,2505.469970703125,4998.10009765625,5006.2001953125,28535.779296875,,1324.5,9500.5498046875,1704.760009765625,9644.75,13139.2001953125,74956.0,35536.69921875,,26338.029296875,1191.9100341796875,,2437.919921875,1446.56005859375
2020-03-26,10155.3603515625,2630.070068359375,22552.169921875,7797.5400390625,10536.2802734375,1550.3499755859375,9789.1796875,1180.3199462890625,61.0,5815.7001953125,10000.9599609375,4543.580078125,2847.780029296875,881.9099731445312,3004.429931640625,2489.969970703125,18664.599609375,23352.33984375,2764.910888671875,10155.3603515625,2487.56005859375,5113.2998046875,5135.2001953125,29946.76953125,4338.90380859375,1328.0899658203125,9991.4296875,1686.239990234375,9736.3603515625,13371.2001953125,77710.0,35706.5703125,,25483.939453125,1230.3399658203125,,2558.77001953125,1470.8900146484375
